Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C0603",0.000000,-4.600000,0.000000,top
"C2","1uF","C0603",-4.800000,2.600000,180.000000,top
"C3","1uF","C0603",-4.900000,-2.600000,180.000000,top
"D1","SZYY0603O","LED0603-R-RD_ORANGE",-4.900000,-5.200000,0.000000,top
"D2","1N4148WS","SOD-323_L1.8-W1.3-LS2.5-RD",-6.000000,6.400000,-90.000000,top
"Q1","SMD1206-30","OPTO-SMD_L3.2-W1.6-L",5.280000,2.540000,-90.000000,top
"R1","150R","R0603",-4.900000,-3.900000,180.000000,top
"R2","10k","R0603",4.832900,-2.100000,90.000000,top
"R5","220R","R0603",-4.800000,3.900000,180.000000,top
"R6","220R","R0603",-4.300000,6.000000,90.000000,top
"R7","220R","R0603",-2.700000,6.000000,90.000000,top
"SW1","TS-1088-AR02016","SW-SMD_L3.9-W3.0-P4.45",0.020000,-6.800000,180.000000,top
"U1","STM32G030F6P6","TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL",0.020000,0.000000,0.000000,top
"U2","NCP114ASN330T1G","TSOP-5_L3.0-W1.5-P0.95-BL",-5.100000,0.000000,180.000000,top
