"Value","Reference","Package","LCSC Part"
"1uF","C1,C2,C3","0603","C15849"
"1N4148WS","D1","SOD-323","C2128"
"KT-0603W","D2","0603","C2290"
"KT-0603R","D3","0603","C2286"
"1N5819WS","D4","SOD-323","C191023"
"KF128L-3.81-2P","J2","Plugin,P=3.81mm","C474932"
"G6K-2F-Y-5V","K1","SMD,10x6.5mm","C2982926"
"BSS138","Q1","SOT-23","C82045"
"220R","R1,R2,R3,R4,R7","0603","C22962"
"4.7k","R5","0603","C23162"
"100R","R6","0603","C22775"
"TS-1088-AR02016","SW1","SMD,4x3mm","C720477"
"STM32G030F6P6","U1","TSSOP-20","C724040"
"XC6206P332MR","U2","SOT-23-3L","C5446"
