"Value","Reference","Package","LCSC Part"
"1uF","C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C13","0603","C15849"
"33pF","C11,C12","0603","C1663"
"KT-0805G","D1","0805","C2297"
"KT-0805Y","D2","0805","C2296"
"USB Type-C 16 pin","J1","SMD","C2765186"
"27R","R1,R2","0603","C25190"
"1k","R3,R6,R7","0603","C21190"
"5k1","R4,R5","0603","C23186"
"150R","R8","0603","C22808"
"10k","R9","0603","C25804"
"TS-1088-AR02016","SW1,SW2","SMD,4x3mm","C720477"
"RP2040","U1","LQFN-56(7x7)","C2040"
"XC6206P332MR","U2","SOT-23-3L","C5446"
"W25Q16JVSS","U3","SOIC-8-208mil","C82317"
"USBLC6-2SC6","U4","SOT-23-6L","C7519"
"12MHz 20pF","X1","SMD3225-4P","C9002"
