Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0603_1608Metric",8.500000,7.250000,180.000000,top
"C2","1uF","C_0603_1608Metric",8.500000,2.250000,0.000000,top
"C3","1uF","C_0603_1608Metric",2.226889,-0.724609,90.000000,top
"C4","1uF","C_0603_1608Metric",0.851889,-13.099609,-90.000000,top
"C5","1uF","C_0603_1608Metric",3.726889,-0.724609,90.000000,top
"C6","1uF","C_0603_1608Metric",-0.648111,-13.099609,-90.000000,top
"C7","1uF","C_0603_1608Metric",5.726889,-7.474609,0.000000,top
"C8","1uF","C_0603_1608Metric",5.726889,-3.974609,0.000000,top
"C9","1uF","C_0603_1608Metric",-0.625000,-0.500000,135.000000,top
"C10","1uF","C_0603_1608Metric",-5.750000,-8.500000,180.000000,top
"C11","33pF","C_0603_1608Metric",-8.648111,-13.099609,-90.000000,top
"C12","33pF","C_0603_1608Metric",-3.648111,-13.099609,90.000000,top
"C13","1uF","C_0603_1608Metric",-10.250000,4.750000,90.000000,top
"D1","KT-0805G","LED_0805_2012Metric",3.750000,4.000000,0.000000,top
"D2","KT-0805Y","LED_0805_2012Metric",-3.750000,4.000000,180.000000,top
"J1","USB Type-C 16 pin","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",0.000000,13.250000,180.000000,top
"J2","HackConnect_small","HackConnect_P1.27mm",8.212600,-13.290000,-90.000000,top
"R1","27R","R_0603_1608Metric",-0.750000,2.500000,-90.000000,top
"R2","27R","R_0603_1608Metric",0.750000,2.500000,-90.000000,top
"R3","1k","R_0603_1608Metric",-10.250000,7.750000,-90.000000,top
"R4","5k1","R_0603_1608Metric",3.750000,7.250000,0.000000,top
"R5","5k1","R_0603_1608Metric",-3.750000,7.250000,180.000000,top
"R6","1k","R_0603_1608Metric",-2.148111,-13.099609,90.000000,top
"R7","1k","R_0603_1608Metric",3.750000,5.750000,180.000000,top
"R8","150R","R_0603_1608Metric",-3.750000,5.750000,0.000000,top
"R9","10k","R_0603_1608Metric",-9.500497,-7.122193,180.000000,top
"SW1","TS-1088-AR02016","SW_SPST_TS-1088-xR020",-8.500000,12.250000,0.000000,top
"SW2","TS-1088-AR02016","SW_SPST_TS-1088-xR020",8.500000,12.250000,180.000000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",-0.023111,-6.474609,0.000000,top
"U2","XC6206P332MR","SOT-23-3",8.500000,4.750000,0.000000,top
"U3","W25Q16JVSS","SOIC-8_5.3x5.3mm_P1.27mm",-8.523111,-1.474609,90.000000,top
"U4","USBLC6-2SC6","SOT-23-6",0.000000,6.250000,-90.000000,top
"X1","12MHz 20pF","Crystal_SMD_3225-4Pin_3.2x2.5mm",-6.125000,-13.875000,-90.000000,top
