Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C0603",8.250000,-1.800000,90.000000,top
"C2","100nF","C0603",8.250000,-4.800000,90.000000,top
"C3","1uF","C0603",1.127500,4.750000,-90.000000,top
"C4","1uF","C0603",6.752500,4.750000,-90.000000,top
"D1","RCLAMP0521P-N","D_SOD-882",-3.187500,4.750000,-90.000000,top
"D2","RCLAMP0521P-N","D_SOD-882",-3.137500,-2.150000,-90.000000,top
"Q1","BSS138","SOT-23",-5.750000,4.750000,180.000000,top
"Q2","BSS138","SOT-23",-5.700000,-2.000000,180.000000,top
"R1","10k","R0603",8.250000,1.200000,90.000000,top
"R2","10k","R0603",-8.750000,4.750000,-90.000000,top
"R3","10k","R0603",-8.750000,-2.000000,-90.000000,top
"R4","2.2k","R0603",-1.687500,4.750000,-90.000000,top
"R5","2.2k","R0603",-1.637500,-2.000000,-90.000000,top
"U1","MAX30102","Maxim_OLGA-14_3.3x5.6mm_P0.8mm",3.875000,-1.750000,0.000000,top
"U2","TLV74318PDBVR","TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR",3.962500,4.750000,180.000000,top
