Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C0603",-20.800000,-6.400000,-90.000000,top
"C2","10uF","C0603",-16.200000,-7.800000,-90.000000,top
"C3","4.7uF","C0603",-9.250000,-7.600000,180.000000,top
"C4","4.7uF","C0603",-7.750000,-5.300000,-90.000000,top
"C5","1uF","C0603",20.200000,-7.500000,-90.000000,top
"C6","1uF","C0603",15.000000,-7.500000,-90.000000,top
"C7","4.7uF","C0603",-11.850000,-7.600000,0.000000,top
"D1","BAT54S,235","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR",11.000000,-7.450000,0.000000,top
"D2","MBR120VLSFT1G","SOD-123F_L2.8-W1.8-LS3.7-RD",-10.759016,-9.736742,180.000000,top
"D3","MBR120VLSFT1G","SOD-123F_L2.8-W1.8-LS3.7-RD",15.250000,-4.625000,0.000000,top
"L1","10uH","IND-SMD_L3.0-W3.0",-23.400000,-7.100000,90.000000,top
"R1","1M","R0603",-16.200000,-5.100000,90.000000,top
"R2","137k","R0603",-18.400000,-4.250000,180.000000,top
"R3","1M","R0603",-9.050000,-5.400000,90.000000,top
"R4","220R","R0603",13.600000,-7.500000,-90.000000,top
"SW1","MST22D18G2 125","SW-SMD_MST22D18G2",0.250000,-7.145000,90.000000,top
"U1","TLV61220DBVR","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR",-18.500000,-7.100000,-90.000000,top
"U2","NCP114ASN330T1G","TSOP-5_L3.0-W1.5-P0.95-BL",17.600000,-7.700000,-90.000000,top
"U3","TPS2553DBVR","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR",-11.850000,-5.400000,0.000000,top
