Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C0603",1.100000,-5.400000,0.000000,top
"C2","1uF","C0603",-3.700000,1.800000,180.000000,top
"C3","1uF","C0603",-3.800000,-3.400000,180.000000,top
"C4","100nF","C0603",-4.153414,12.077479,-90.000000,top
"C5","100nF","C0603",-11.504966,5.585733,-45.000000,top
"C6","100nF","C0603",-12.091633,-4.191715,0.000000,top
"C7","100nF","C0603",-5.642827,-11.554983,45.000000,top
"C8","100nF","C0603",4.175062,-12.200000,90.000000,top
"C9","100nF","C0603",11.492743,-5.673634,135.000000,top
"C10","100nF","C0603",12.110605,4.099183,180.000000,top
"C11","100nF","C0603",5.755025,11.505025,-135.000000,top
"D1","SZYY0603O","LED0603-R-RD_ORANGE",-3.800000,-6.000000,0.000000,top
"D2","1N4148WS","SOD-323_L1.8-W1.3-LS2.5-RD",-4.900000,5.600000,-90.000000,top
"LED1","WS2812E","LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB",0.016500,12.096647,180.000000,top
"LED2","WS2812E","LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB",8.607847,8.537994,135.000000,top
"LED3","WS2812E","LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB",12.166500,-0.053353,90.000000,top
"LED4","WS2812E","LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB",8.607847,-8.644700,45.000000,top
"LED5","WS2812E","LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB",0.016500,-12.203353,0.000000,top
"LED6","WS2812E","LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB",-8.574847,-8.644700,-45.000000,top
"LED7","WS2812E","LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB",-12.133500,-0.053353,-90.000000,top
"LED8","WS2812E","LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB",-8.574847,8.537994,-135.000000,top
"Q1","2N7002K","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR",6.950000,0.500000,-90.000000,top
"R1","150R","R0603",-3.800000,-4.700000,180.000000,top
"R2","10k","R0603",6.900000,-2.000000,0.000000,top
"R3","10k","R0603",7.000000,3.000000,180.000000,top
"R5","220R","R0603",-3.700000,3.100000,180.000000,top
"R6","220R","R0603",-3.200000,5.200000,90.000000,top
"R7","220R","R0603",-1.600000,5.200000,90.000000,top
"SW1","TS-1088-AR02016","SW-SMD_L3.9-W3.0-P4.45",1.120000,-7.600000,180.000000,top
"U1","STM32G030F6P6","TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL",1.120000,-0.800000,0.000000,top
"U2","NCP114ASN330T1G","TSOP-5_L3.0-W1.5-P0.95-BL",-4.000000,-0.800000,180.000000,top
