Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,,,-12.0539,7.1352,130,top
C2,,,5.2032,-10.4571,0,top
C3,,,3.2126,-10.4821,180,top
C4,,,1.5899,-9.3849,270,top
C5,,,-4.3265,-8,90,top
C6,,,-4.2687,-9.9212,90,top
C7,,,1.71,-3.4929,45,top
C8,,,-8.75,-0.5375,90,top
C9,,,-5.156,-4.6,0,top
C10,,,3,0.1,180,top
C11,,,-5.625,5.075,0,top
C12,,,1.0758,4.325,135,top
C13,,,3.1413,-3.5591,45,top
C14,,,3,1.275,180,top
C15,,,-7.7554,-0.5165,90,top
C19,,,-1.108,7.6307,90,top
C20,,,-9.2785,6.3223,0,top
C21,,,-10.105,0.505,90,top
C24,,,-11.39,0.505,270,top
C27,,,-8.7076,-8.5555,0,top
C28,,,8.3,-5.7071,0,top
C29,,,-5.8641,6.3807,135,top
D1,,,-10.35,8.5301,0,top
D2,,,-13.9,4.8,270,top
D3,,,-13.925,-2.4,90,top
D4,,,7,1.025,270,top
D5,,,7,-0.525,90,top
D6,,,7,2.775,90,top
D8,,,-13.4,2.75,270,top
D9,,,-13.4,0,0,top
D10,,,-5.83,-7.45,270,top
D11,,,7.8301,-8.7106,90,top
D12,,,-1.775,-5.8,180,top
D13,,,5.7713,-4.6985,180,top
FB1,,,-13.6,6.858,90,top
J3,,,11.3447,0,90,top
Q1,,,-10.3,-2.4235,270,top
Q2,,,-5.7887,9.0801,270,top
R1,,,-12.7998,9.6698,70,top
R2,,,-8.2376,-6.8678,270,top
R3,,,5.1,-0.8182,0,top
R4,,,5.1,-1.95,0,top
R5,,,-7.8785,-9.4606,0,top
R6,,,-7.9,-10.3533,0,top
R7,,,-1.125,10.125,270,top
R8,,,-7.5054,-3.5065,225,top
R9,,,-8.1883,1.095,0,top
R11,,,-11.6639,2.1326,0,top
R12,,,-11.6639,3.345,0,top
R13,,,-12.85,-2.4011,270,top
R14,,,4.3422,2.8491,90,top
R15,,,7.025,-2.1959,270,top
R16,,,-11.2396,5.188,90,top
R17,,,-12.3844,5.175,90,top
R18,,,5.1,4.8,0,top
R20,,,-3.2,10.5,180,top
R21,,,13.2,5.5067,0,top
R22,,,-3.2,9.2,180,top
R23,,,11.1543,5.5067,0,top
R24,,,-7.5649,-4.935,45,top
R25,,,-1.095,5.2,135,top
R26,,,-2.4568,5.2,135,top
R27,,,2.9438,-5.2505,0,top
R28,,,-7.2518,-7.2758,270,top
R29,,,-8.05,8.7851,280,top
R30,,,-7.6806,10.2592,0,top
SW1,,,-11.775,-5.9755,0,top
U1,,,4.4413,-8.2576,90,top
U2,,,-1.425,-8.9,0,top
U3,,,-2.675,0.2,270,top
U4,,,4.07,8.1596,270,top
X1,,,-8.9,3.7916,90,top
