Comment,Designator,Footprint,LCSC Part#
"CAP_0402 4.7uF","C3","0402","C23733"
"CAP_0402 4.7uF","C2","0402","C23733"
"RES_0402 220R","R3","0402","C25091"
"CAP_0402 33pF","C6","0402","C1562"
"RES_0402 1k@100MHz","FB1","0402","C21516"
"XC6206-SOT23-3","U2","SOT-23-3L","C5446"
"LED-RGB-CA-2020 C108793","D1","LED-4_2020","C108793"
"RES_0402 470R","R6","0402","C25117"
"R-US_R0603 180R","R8","0603","C22828"
"R-US_R0603 68R","R5","0603","C27592"
"BAT54S","D2","SOT-23","C408389"
"STM32G030F8P6 C724040","IC2","TSSOP-20","C724040"
"SHT30-DIS-B SHT30-DIS-B C77361","U3","DFN-8_EP_2.5x2.5x0.5P","C77361"
"CAP_0402 0.1uF","C5","0402","C1525"
"RES_0402 10k","R1","0402","C25744"
"RES_0402 10k","R2","0402","C25744"
"QWIIC_CONNECTORJS-1MM C145956","J8","SMD_P=1mm","C145956"
