Designator,Mid X,Mid Y,Layer,Rotation
C2, 8.95, 5.68,T,270
C3,11.21,22.03,T, 90
C5,14.00, 9.00,T,  0
C6,16.50,19.25,T, 90
D1, 8.50,12.50,T,180
D2,11.20,18.80,T,270
FB1,15.25,19.25,T, 90
IC2,13.49, 4.93,T,270
J1, 4.00,22.50,T,  0
J2, 4.00, 2.50,T,  0
J3,24.00, 2.50,T,  0
J4,24.00,22.50,T, 90
J5,18.98,12.50,T,270
J6,17.76,23.28,T,  0
J8,23.74,12.50,T,270
JD1, 3.90,12.50,T, 90
JP1,21.99, 7.13,T,270
JP2,24.00, 7.75,T,270
R1,15.99,16.12,T,  0
R2,11.98,16.15,T,180
R3,14.00,19.25,T,270
R5, 8.50,15.25,T, 90
R6, 7.70, 7.42,T, 90
R8, 8.50,10.00,T,270
U2, 9.09,21.73,T, 90
U3,14.00,12.50,T,270
