Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
,,3ea4ebb4-31fd-459a-bba5-33a37b22713e,-17.454700,0.790001,90.000000,top
J1,YZ00615050R-04,Pogo_2mm-base,-11.040010,-11.995125,0.000000,top
J2,YZ00615050R-04,Pogo_2mm-base,-8.610010,-11.605125,0.000000,top
J3,YZ00615050R-04,Pogo_2mm-base,-6.150010,-11.605125,0.000000,top
J4,YZ00615050R-04,Pogo_2mm-base,-3.690010,-11.605125,0.000000,top
J5,YZ00615050R-04,Pogo_2mm-base,-1.230010,-11.605125,0.000000,top
J6,YZ00615050R-04,Pogo_2mm-base,1.229990,-11.605125,0.000000,top
J7,YZ00615050R-04,Pogo_2mm-base,3.689990,-11.605125,0.000000,top
J8,YZ00615050R-04,Pogo_2mm-base,6.149990,-11.605125,0.000000,top
J9,YZ00615050R-04,Pogo_2mm-base,8.609990,-11.605125,0.000000,top
J10,YZ00615050R-04,Pogo_2mm-base,11.039990,-11.995125,0.000000,top
J11,YZ00615050R-04,Pogo_2mm-base,-8.609446,11.606634,0.000000,top
J12,YZ00615050R-04,Pogo_2mm-base,-6.149446,11.606634,0.000000,top
J13,YZ00615050R-04,Pogo_2mm-base,-3.689446,11.606634,0.000000,top
J14,YZ00615050R-04,Pogo_2mm-base,-1.229446,11.606634,0.000000,top
J15,YZ00615050R-04,Pogo_2mm-base,1.230554,11.606634,0.000000,top
J16,YZ00615050R-04,Pogo_2mm-base,3.690554,11.606634,0.000000,top
J17,YZ00615050R-04,Pogo_2mm-base,6.150554,11.606634,0.000000,top
J18,YZ00615050R-04,Pogo_2mm-base,8.610554,11.606634,0.000000,top
J19,YZ00615050R-04,Pogo_2mm-base,11.040554,11.996634,0.000000,top
MH1,SMH1_DATA,jacdac_hole_SMTSO_DATA_MH1,-15.000000,10.000010,16.000000,top
MH2,SMH2_GND,jacdac_hole_SMTSO_GND_MH2,15.000010,10.000020,42.000000,top
MH3,SMH3_POWER,jacdac_hole_SMTSO_PWR_MH3,-15.000000,-10.000000,-16.000000,top
MH4,SMH4_GND,jacdac_hole_SMTSO_GND_MH4,15.000010,-9.999990,-45.000000,top
