Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C0603,-0.500000,-4.600000,0.000000,top
C2,1uF,C0603,-5.300000,2.600000,180.000000,top
C3,1uF,C0603,-5.400000,-2.600000,180.000000,top
D1,SZYY0603O,LED0603-R-RD_ORANGE,-5.400000,-5.200000,0.000000,top
D2,1N4148WS,SOD-323_L1.8-W1.3-LS2.5-RD,-6.500000,6.400000,-90.000000,top
D3,NH-B2020RGBA-HF,LED-ARRAY-SMD_4P-L2.1-W2.1-TL_NH-B2020RGBA,5.250000,-2.300000,0.000000,top
R1,150R,R0603,-5.400000,-3.900000,180.000000,top
R2,30R,R0603,5.250000,2.500000,180.000000,top
R3,30R,R0603,5.250000,1.300000,180.000000,top
R4,30R,R0603,5.250000,0.100000,180.000000,top
R5,220R,R0603,-5.300000,3.900000,180.000000,top
R6,220R,R0603,-4.800000,6.000000,90.000000,top
R7,220R,R0603,-3.200000,6.000000,90.000000,top
SW1,TS-1088-AR02016,SW-SMD_L3.9-W3.0-P4.45,-0.480000,-6.800000,180.000000,top
U1,STM32G030F6P6,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,-0.480000,0.000000,0.000000,top
U2,NCP114ASN330T1G,TSOP-5_L3.0-W1.5-P0.95-BL,-5.600000,0.000000,180.000000,top
