"Value","Reference","Package","LCSC Part"
"100nF","C1,C4,C5,C6,C7,C8,C9,C10,C11","0603"," C14663"
"1uF","C2,C3","0603","C15849"
"SZYY0603O","D1","0603","C434425"
"1N4148WS","D2","SOD-323","C2128"
"WS2812E","LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8","5050","C139127"
"2N7002K","Q1","SOT-23","C36499173"
"150R","R1","0603","C22808"
"10k","R2,R3","0603","C25804"
"220R","R5,R6,R7","0603","C22962"
"TS-1088-AR02016","SW1","SMD","C720477"
"STM32G030F6P6","U1","TSSOP-20","C724040"
"NCP114ASN330T1G","U2","TSOP-5-1.5mm","C457666"
