"Value","Reference","Package","LCSC Part"
"33pF","C1","0402","C307343"
"1uF","C2,C3,C7,C8,C9,C10,C11,C12,C13,C19,C28","0402","C14445"
"4.7uF","C4,C5,C6,C24,C27,C29","0402","C23733"
"0.1uF","C14,C15","0402","C133086"
"15pF","C20,C21","0402","C86285"
"BAT54S,215","D1,D13","SOT-23","C47546"
"RCLAMP0521P-N","D2,D3,D4,D5,D6","0402","C316043"
"NCD0603G2","D8","0603","C87326"
"TZ-P4-1615RGBTCA1-0.55T","D9","0606","C779813"
"RB161MM-20TR","D10,D11,D12","SOD-123F","C123070"
"MPZ1608S102ATA00","FB1","0603","C76814"
"TYPE-C-31-M-12","J3","SMD","C165948"
"BCM857BS-7-F","Q1","SOT-363-6","C105896"
"2N7002KT1G","Q2","SOT-23","C116584"
"220R","R1","0603","C107696"
"330k","R2,R30","0402","C138006"
"27R","R3,R4,R11,R12","0402","C138021"
"68k","R5","0402","C137947"
"56k","R6,R17","0402","C114756"
"10k","R7","0402","C60490"
"1k","R8,R9","0402","C106235"
"150R","R13","0402","C138054"
"5.1k","R14,R15","0402","C105873"
"33k","R16","0402","C138003"
"39R","R18","0603","C137733"
"5.6k","R20,R21,R22,R23","0402","C163457"
"150k","R24","0402","C93947"
"0R","R25,R26","0402","C60485"
"100k","R27","0402","C60491"
"1M","R28","0402","C138033"
"22k","R29","0402","C82868"
"UK-B0267-SP25Y","SW1","SMD","C493283"
"ME6211C33M5G-N","U1","SOT-23-5","C82942"
"TPS2553DBVR","U2","SOT-23-6","C55266"
"RP2040","U3","LQFN-56(7x7)","C2040"
"W25Q32JVSSIQ","U4","SOIC-8-208mil","C179173"
"X322512MOB4SI","X1","SMD3225-4P","C70565"
