Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,33pF,C0402,-12.0539,7.1352,130,top
C2,1uF,C0402,5.2032,-10.4571,0,top
C3,1uF,C0402,3.2126,-10.4821,180,top
C4,4.7uF,C0402,1.5899,-9.3849,270,top
C5,4.7uF,C0402,-4.3265,-8,90,top
C6,4.7uF,C0402,-4.2687,-9.9212,90,top
C7,1uF,C0402,1.71,-3.4929,45,top
C8,1uF,C0402,-8.75,-0.5375,90,top
C9,1uF,C0402,-5.156,-4.6,0,top
C10,1uF,C0402,3,0.1,180,top
C11,1uF,C0402,-5.625,5.075,0,top
C12,1uF,C0402,1.0758,4.325,135,top
C13,1uF,C0402,3.1413,-3.5591,45,top
C14,0.1uF,C0402,3,1.275,180,top
C15,0.1uF,C0402,-7.7554,-0.5165,90,top
C19,1uF,C0402,-1.108,7.6307,90,top
C20,15pF,C0402,-9.2785,6.3223,0,top
C21,15pF,C0402,-10.105,0.505,90,top
C24,4.7uF,C0402,-11.39,0.505,270,top
C27,4.7uF,C0402,-8.7076,-8.5555,0,top
C28,1uF,C0402,8.3,-5.7071,0,top
C29,4.7uF,C0402,-5.8641,6.3807,135,top
D1,"BAT54S,215",SOT-23,-10.35,8.5301,0,top
D2,RCLAMP0521P-N,0402,-13.9,4.8,270,top
D3,RCLAMP0521P-N,0402,-13.925,-2.4,90,top
D4,RCLAMP0521P-N,0402,7,1.025,270,top
D5,RCLAMP0521P-N,0402,7,-0.525,90,top
D6,RCLAMP0521P-N,0402,7,2.775,90,top
D8,NCD0603G2,0603,-13.4,2.75,270,top
D9,TZ-P4-1615RGBTCA1-0.55T,0606,-13.4,0,0,top
D10,RB161MM-20TR,SOD-123F,-5.83,-7.45,270,top
D11,RB161MM-20TR,SOD-123F,7.8301,-8.7106,90,top
D12,RB161MM-20TR,SOD-123F,-1.775,-5.8,180,top
D13,"BAT54S,215",SOT-23,5.7713,-4.6985,180,top
FB1,MPZ1608S102ATA00,0603,-13.6,6.858,90,top
J3,TYPE-C-31-M-12,SMD,11.3447,0,90,top
Q1,BCM857BS-7-F,SOT-363-6,-10.3,-2.4235,270,top
Q2,2N7002KT1G,SOT-23,-5.7887,9.0801,270,top
R1,220R,R0603,-12.7998,9.6698,70,top
R2,330k,R0402,-8.2376,-6.8678,270,top
R3,27R,R0402,5.1,-0.8182,0,top
R4,27R,R0402,5.1,-1.95,0,top
R5,68k,R0402,-7.8785,-9.4606,0,top
R6,56k,R0402,-7.9,-10.3533,0,top
R7,10k,R0402,-1.125,10.125,270,top
R8,1k,R0402,-7.5054,-3.5065,225,top
R9,1k,R0402,-8.1883,1.095,0,top
R11,27R,R0402,-11.6639,2.1326,0,top
R12,27R,R0402,-11.6639,3.345,0,top
R13,150R,R0402,-12.85,-2.4011,270,top
R14,5.1k,R0402,4.3422,2.8491,90,top
R15,5.1k,R0402,7.025,-2.1959,270,top
R16,33k,R0402,-11.2396,5.188,90,top
R17,56k,R0402,-12.3844,5.175,90,top
R18,39R,R0603,5.1,4.8,0,top
R20,5.6k,R0402,-3.2,10.5,180,top
R21,5.6k,R0402,13.2,5.5067,0,top
R22,5.6k,R0402,-3.2,9.2,180,top
R23,5.6k,R0402,11.1543,5.5067,0,top
R24,150k,R0402,-7.5649,-4.935,45,top
R25,0R,R0402,-1.095,5.2,135,top
R26,0R,R0402,-2.4568,5.2,135,top
R27,100k,R0402,2.9438,-5.2505,0,top
R28,1M,R0402,-7.2518,-7.2758,270,top
R29,22k,R0402,-8.05,8.7851,280,top
R30,330k,R0402,-7.6806,10.2592,0,top
SW1,UK-B0267-SP25Y,SMD,-11.775,-5.9755,0,top
U1,ME6211C33M5G-N,SOT-23-5,4.4413,-8.2576,90,top
U2,TPS2553DBVR,SOT-23-6,-1.425,-8.9,0,top
U3,RP2040,LQFN-56(7x7),-2.675,0.2,270,top
U4,W25Q32JVSSIQ,SOIC-8-208mil,4.07,8.1596,270,top
X1,X322512MOB4SI,SMD3225-4P,-8.9,3.7916,90,top
